11,开关量采集参数定义表,,,,,,,,,
ParamId,Name,NameEn,CategoryId,MediumId,ApplicableBoilerTypes,Unit,Scale,Fix,Length,Remark
1,极低水位报警,极低水位报警,11,,,,,2,,
2,超高水位报警,超高水位报警,11,,,,,2,,
3,蒸汽超压报警,蒸汽超压报警,11,,,,,2,,
4,综合报警信号,综合报警信号,11,,,,,2,,
5,软水硬度报警,软水硬度报警,11,,,,,2,,
6,锅炉运行信号,锅炉运行信号,11,,,,,2,,
7,点火信号,点火信号,11,,,,,2,,
8,熄火故障,熄火故障,11,,,,,2,,
9,鼓风机运行信号,鼓风机运行信号,11,,,,,2,,
10,引风机运行信号,引风机运行信号,11,,,,,2,,
